GPS Time,Device Time,Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Absolute Throttle Position B(%),AccX,AccY,AccZ,Actual engine % torque(%),Air Fuel Ratio,Ambient air temp(°C),Barometric pressure (from vehicle)(psi),CO₂ in g/km (Average) ,CO₂ in g/km (Instantaneous),Engine Coolant Temperature(°C),Engine Load(%),Engine Load(Absolute)(%),Engine RPM,Fuel used (trip)(gal),GPS Latitude(°),GPS Longitude(°),GPS Satellites,Intake Air Temperature(°C),Intake Manifold Pressure(psi),Mass Air Flow Rate(g/s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Torque(Nm),Trip Distance(km)
Sun Aug 29 15:03:23 CST 2021,29-Aug.-2021 15:03:21.612,-104.52736203,50.44755727,21.15,3.873329,556.9506835938,87.4,-0.04666004,-1.06899357,9.6948204,-0.0317018,20.3921566,0.00231721,0.07454702,-0.01926937,-0,-0,33,13.63354778,380.53582764,179.26513672,88,62.74509811,41.17647171,1508,0.04359304,50.44755554,-104.52735901,13,55,9.71752834,-0,76.13999939,75,20.3921566,23.82461929,0.81291002
Sun Aug 29 15:03:23 CST 2021,29-Aug.-2021 15:03:22.112,-104.52736203,50.44755727,21.15,3.873329,556.9506835938,87.4,0.26201409,-0.83778703,10.42044353,0.02374506,20.3921566,0.04564291,0.07101024,0.04381351,-0,-0,33,13.63354778,380.53582764,179.26513672,88,90.58823395,41.17647171,1508,0.04359304,50.44755554,-104.52735901,13,55,9.71752834,-0,76.13999939,75,20.3921566,23.82461929,0.84088922
Sun Aug 29 15:03:24 CST 2021,29-Aug.-2021 15:03:22.613,-104.52706186,50.44756714,21.29,3.8171287,556.9028320313,87.2,0.28624141,-0.8353942,8.62702274,-0.10918576,31.37254906,-0.01597654,0.09957897,-0.04576489,-0,-0,33,13.63354778,376.65356445,205.83343506,89,90.58823395,66.66666412,1817,0.04399816,50.44756699,-104.52706146,13,55,12.76332092,-0,76.64400482,75,30.19607925,23.82461929,0.84088922
Sun Aug 29 15:03:24 CST 2021,29-Aug.-2021 15:03:23.112,-104.52706186,50.44756714,21.29,3.8171287,556.9028320313,87.2,0.31016964,-1.18025982,10.00020409,-0.01236493,31.37254906,-0.02707475,0.06271707,-0.04125239,-0,-0,33,13.63354778,376.65356445,205.83343506,89,64.70588684,66.66666412,1817,0.04399816,50.44756699,-104.52706146,13,54,12.76332092,-0,76.64400482,76,21.56862831,23.82461929,0.85645062
Sun Aug 29 15:03:25 CST 2021,29-Aug.-2021 15:03:23.611,-104.52675911,50.44757506,21.44,3.874562,556.8511962891,87.2,0.51475596,-0.96729857,9.7450695,-0.02082468,31.37254906,-0.00329288,0.07869361,-0.07966923,-0,-0,33,13.63354778,376.65356445,205.83343506,89,64.70588684,66.66666412,1817,0.04399816,50.44757462,-104.52675629,15,54,12.76332092,-0,77.18399811,76,21.56862831,23.82461929,0.85645062
Sun Aug 29 15:03:25 CST 2021,29-Aug.-2021 15:03:24.113,-104.52675911,50.44757506,21.44,3.874562,556.8511962891,87.2,0.84137625,-1.72133684,10.49222851,0.04240837,31.37254906,0.01414717,0.05100907,-0.03600815,-0,-0,33,13.63354778,376.65356445,205.83343506,89,64.70588684,66.66666412,1817,0.04399816,50.44757462,-104.52675629,15,54,12.76332092,-0,77.18399811,76,21.56862831,23.82461929,0.85645062
Sun Aug 29 15:03:26 CST 2021,29-Aug.-2021 15:03:24.611,-104.52646083,50.44758126,21.21,3.8765712,556.9638671875,87.8,0.02273181,-1.36211431,8.23340321,-0.14249414,14.90196133,0.0462527,0.0412524,-0.06552209,-0,-0,33,13.63354778,369.92092896,66.95318604,89,64.70588684,12.15686321,1495,0.04422962,50.44758224,-104.52645874,15,54,3.48090577,-0,76.35599518,75,21.56862831,-0,0.89759815
Sun Aug 29 15:03:26 CST 2021,29-Aug.-2021 15:03:25.110,-104.52646083,50.44758126,21.21,3.8765712,556.9638671875,87.8,0.17228323,-1.29990089,9.00299549,-0.05861237,14.90196133,0.06698561,0.01292757,0.01475697,-0,-0,32,13.63354778,369.92092896,66.95318604,89,16.47058868,12.15686321,1495,0.04422962,50.44758224,-104.52645874,15,55,3.48090577,-0,76.35599518,75,14.90196133,-0,0.89759815
Sun Aug 29 15:03:27 CST 2021,29-Aug.-2021 15:03:25.612,-104.52616414,50.44758702,20.81,3.8825274,556.9036865234,87.7,-0.09212367,-1.59332073,9.66610622,-0.02472289,14.90196133,0.00256113,0.04174024,0.000122,-0,-0,32,13.63354778,369.92092896,66.95318604,89,16.47058868,11.37254906,1495,0.04422962,50.44758606,-104.52616119,12,55,3.48090577,-0,74.91599274,75,14.90196133,-0,0.89759815
Sun Aug 29 15:03:27 CST 2021,29-Aug.-2021 15:03:26.112,-104.52616414,50.44758702,20.81,3.8825274,556.9036865234,87.7,0.24526432,-1.22811627,9.67687416,0.03151148,14.90196133,0.02524538,0.05161886,0.08015715,-0,-0,32,13.63354778,363.234375,55.65245819,89,16.47058868,11.37254906,1507,0.04435844,50.44758606,-104.52616119,12,55,3.48090577,-0,74.91599274,75,14.90196133,-0,0.89759815
Sun Aug 29 15:03:28 CST 2021,29-Aug.-2021 15:03:26.620,-104.52587327,50.44759285,20.55,3.879968,556.9470214844,87.5,0.16151553,-1.02592266,9.87338448,0.01882184,21.96078491,0.00414658,0.06515624,-0.03405686,-0,-0,33,13.63354778,363.234375,55.65245819,89,38.03921509,11.37254906,1507,0.04435844,50.44759369,-104.52587128,14,55,3.48090577,-0,73.97999573,73,20.7843132,-0,0.93040484
Sun Aug 29 15:03:28 CST 2021,29-Aug.-2021 15:03:27.112,-104.52587327,50.44759285,20.55,3.879968,556.9470214844,87.5,0.29102704,-0.97208422,10.47069263,0.0070964,21.96078491,0.06186337,0.10726235,-0.05161886,-0,-0,33,13.63354778,359.96969604,206.52946472,89,92.54901886,51.37254715,1560,0.04472066,50.44759369,-104.52587128,14,55,12.47324562,-0,73.97999573,73,31.37254906,-0,0.94632292
